model,scenario,intent,tone,generated_email,metric_1_fact_recall,metric_2_tone_accuracy,metric_3_conciseness,average_score
Model_A_70b,1,Follow up after a job interview,"Professional, enthusiastic","Subject: Following Up on Senior Data Analyst Opportunity

Dear Mr. James,

I wanted to express my continued interest in the Senior Data Analyst position and thank you for the opportunity to discuss my qualifications with you last Monday. Our conversation about leveraging Python and SQL skills to drive business insights truly resonated with me, and I'm eager to contribute my expertise to your team.

Please let me know if there's any additional information I can provide to support my application.

Best regards,
Alexandra Chen",1.0,0.9,1.0,0.97
Model_A_70b,2,Request a meeting with a potential client,"Confident, professional","Subject: Discover How TechCorp Can Save 30% on Operational Costs

Dear [Decision Maker's Name],

I'd like to introduce you to our innovative analytics software, specifically designed to help TechCorp optimize operations and reduce costs. Our solution has been proven to save companies like yours up to 30% on operational expenses.

I'd appreciate the opportunity to demonstrate how our software can address your unique challenges and goals. Would you be available to meet on either Tuesday or Thursday?

Best regards,
[Your Name]",1.0,0.9,1.0,0.97
Model_A_70b,3,Apologize for missing a project deadline,"Sincere, accountable","Subject: Apology for Missing Deadline and Updated Delivery

Dear [Manager],

I want to start by apologizing for missing yesterday's project deadline. Despite our best efforts, an unexpected server outage caused an unforeseen delay.

I'm pleased to report that the work is now 90% complete, and we're working diligently to finish the remaining tasks. I'm confident that we'll be able to deliver the project by tomorrow at 5pm.

Please accept my sincere apologies for any inconvenience this may have caused, and thank you for your understanding.

Best regards,
[Your Name]",1.0,0.9,1.0,0.97
Model_A_70b,4,Ask for a salary raise,"Confident, respectful","Subject: Request for Salary Review

Dear [Manager],

I'm writing to discuss my current compensation package, considering my contributions to the company over the past three years. This year alone, I've led five successful projects, and under my leadership, our team has grown from 2 to 8 members.

Given my research, I believe my salary is below the current market rate by approximately 20%. I'm proud of what we've achieved, and I'm excited about our future prospects. I would appreciate it if we could review my salary to bring it more in line with industry standards.

I'm looking forward to discussing this further with you.

Best regards,
[Your Name]",1.0,0.9,0.85,0.92
Model_A_70b,5,Welcome a new team member,"Warm, friendly","Subject: Welcome to the Team, Sarah

Hi Sarah,

A warm welcome to our team. We're excited to have you on board as our new UX Designer, starting Monday. You'll be a great fit, and we're looking forward to seeing your skills in action.

To get you up to speed, we have a weekly standup every Tuesday, which is a fantastic opportunity to sync with the team, share updates, and align on priorities. We'll make sure you have all the details before then.

If you have any questions before your first day, please don't hesitate to reach out. We're all looking forward to meeting you on Monday.

Best regards,
Alexandra Chen",1.0,0.9,0.85,0.92
Model_A_70b,6,Request feedback on submitted proposal,"Polite, urgent","Subject: Request for Feedback on Submitted Proposal

Dear [Decision Maker],

I am reaching out to request your feedback on the proposal we submitted two weeks ago for the $50,000 project. As we approach the project start deadline next month, it's essential that we receive your input to proceed with the necessary preparations.

Could you please share your thoughts on the proposal at your earliest convenience? Your feedback will be invaluable in helping us move forward.

Best regards,
[Your Name]",1.0,0.9,1.0,0.97
Model_A_70b,7,Inform team about office relocation,"Informative, positive","Subject: Exciting News: Our Office is Relocating to Downtown

Dear Team,

I'm pleased to share that our office will be relocating to a new downtown location on July 1st. Our new address will be 123 Main Street, offering a more central and accessible spot for us to work and collaborate.

One of the benefits of our new location is the availability of free parking, making commuting easier for everyone.

I'll be sharing more details and updates as we get closer to the move date. If you have any questions, please don't hesitate to reach out.

Best regards,
Alexandra Chen",1.0,0.9,1.0,0.97
Model_A_70b,8,Decline a meeting request politely,"Polite, professional","Subject: Alternative to Meeting Request

Dear John,

I appreciate your invitation to meet, but unfortunately, I have a prior commitment at that time. 

Would it be possible to schedule an alternative time for next week? If that doesn't work for you, I'd be more than happy to discuss over a call at your convenience.

Best regards,
Alexandra Chen",1.0,0.95,1.0,0.98
Model_A_70b,9,Ask a vendor for a discount,"Friendly, negotiating","Subject: Exploring Opportunities for a Long-Term Partnership

Hi [Vendor],

As we've been a valued customer for the past five years, I wanted to touch base with you regarding our upcoming order. We're excited to be increasing our quantity by three times the usual amount, which is a testament to the trust we've built together.

However, in preparing for this larger purchase, we did receive a competing offer that was 15% lower than your current price. I want to emphasize that we truly value our partnership and would prefer to continue working with you.

Would it be possible to discuss potential discounts that could bring your price more in line with the competitor's offer? We're eager to find a mutually beneficial solution that allows us to maintain our relationship while also meeting our budget requirements.

Looking forward to hearing from you and exploring options together.

Best regards,
[Your Name]",1.0,0.9,0.85,0.92
Model_A_70b,10,Congratulate a colleague on a promotion,"Warm, genuine","Subject: Congratulations, David

Hi David,

I just heard the amazing news about your promotion to Head of Engineering, and I wanted to reach out and offer my warmest congratulations. Over the four years we've worked together, I've seen firsthand your exceptional problem-solving skills in action, and I have no doubt you'll excel in this new role.

Your leadership and expertise will undoubtedly make a significant impact, and I'm looking forward to seeing the team thrive under your guidance.

Please take a moment to celebrate this achievement – you've earned it.

Best regards,
Alexandra Chen",1.0,0.92,1.0,0.97
Model_B_8b,1,Follow up after a job interview,"Professional, enthusiastic","Subject: Following Up on Our Interview

Hi Mr. James,

I wanted to express my sincere gratitude for the opportunity to interview for the Senior Data Analyst position last Monday. I truly appreciated our discussion around leveraging Python and SQL skills to drive business value.

I'm excited about the prospect of joining the team and contributing to the organization's success. If there's any additional information I can provide to support my application, please don't hesitate to reach out.

Best regards,
Alexandra Chen",1.0,0.9,1.0,0.97
